Hashtag,Cluster,Count
nashvilletaylorswift,"['nashvilletaylorswift', 'taylorswifteducationcenter', 'taylorswiftunreleased', 'taylorswiftfact', 'taylorswifttoes', 'taylorswiftsecretsessions', 'taylorswiftiecc', 'mattyandtaylorswift', 'taylorswiftmastermind', 'taylorswiftclips', 'taylorswiftstore', 'taylornashville', 'taylorswiftmakeupinspired', 'taylorswiftkarmatheory', 'taylorswiftboyfriends', 'taylorswiftfernandoalonso', 'kingofmyhearttaylorswift', 'the1taylorswift', 'oktaylorswift', 'taylorswiftgillette', 'taylorswiftthemangillette', 'taylorswifttheman', 'hauntedtaylorswift', 'beginagaintaylorswift', 'taylorswiftandconnerkennedy', 'taylorswiftex', 'taylorswiftswiftcity', 'taylorswiftcansing', 'ihearttaylorswift', 'taylorswiftmommy', 'taylorswiftisthebest', 'taylorswiftexile', 'taylorswifthits', 'bestoftaylorswift', 'taylorswiftweddingsongs', 'taylorswiftweddingtheme', '13taylorswift', 'howyougetthegirltaylorswift', 'taylorswiftkanyewest', 'taylorswiftandharrystyles', 'taylorswiftdancer', 'taylorswiftsnl', 'taylorswifttour2022', 'iwillmeettaylorswift', 'allofthegirlstaylorswift', 'taylorswifttweets', 'grammystaylorswift', 'taylorswiftdecor', 'tayloralisonswiftedit', 'viptaylorswifttickets', 'tohxtaylorswift', 'taylorswifttattooidea', 'taylorswifttampashow', 'taylorswiftgirl', 'taylorswiftbooks', 'taylorswifturuguay']",109
abbaaudio,['abbaaudio'],1
doechii,['doechii'],1
mentyb,['mentyb'],1
billie,['billie'],1
lourd,"['lourd', 'rd']",4
fisher,"['fisher', 'rayfisher']",3
thewalkoffame,['thewalkoffame'],1
n3ro234,"['n3ro234', 'nashvillen3']",2
boohbah,['boohbah'],1
procrastinatingonaproject,['procrastinatingonaproject'],1
draxforever,"['draxforever', 'mantisanddrax', 'draxthedad']",5
lllaufeysons,"['lllaufeysons', 'laufeyrelease']",3
pedropleasebemychaoticbestie,['pedropleasebemychaoticbestie'],1
xbsessing,['xbsessing'],2
javi,"['javi', 'javipena', 'javirpenaedits', 'javiguiterriezedit', 'javigutierrezsupremacy', 'javigutierrezdeservestheworld']",11
tvshowscenes,['tvshowscenes'],1
writerstrike,['writerstrike'],1
countrymusicmuseum,['countrymusicmuseum'],1
adultlife,['adultlife'],1
firstmeeting,['firstmeeting'],1
holyspirit,['holyspirit'],1
nutella,"['nutella', 'nutellalover', 'nutellapancakes']",6
loveconfessions,['loveconfessions'],1
alwayswydbutnever,['alwayswydbutnever'],1
watermeloncat,['watermeloncat'],1
foreedgepainting,['foreedgepainting'],1
dcicons,['dcicons'],1
dumbhys,['dumbhys'],1
freddieoversteegen,"['freddieoversteegen', 'truusoversteegen']",3
hannieschaft,['hannieschaft'],1
f1jokes,"['f1jokes', 'f1racing', 'f1driveredits', 'femalef1fans', 'femalef1fan', 'f1swiftie', 'shelovesf1', 'f1popculture', 'learnf1', 'femalesinf1', 'croftyf1', 'f1sprintrace', 'f1philippines', 'f1driver']",21
taynando,['taynando'],1
fernandoalonsoedit,"['fernandoalonsoedit', 'taylorswiftfernandoalonso']",2
f1driveredits,"['f1driveredits', 'shelovesf1', 'learnf1', 'femalesinf1', 'croftyf1', 'f1philippines', '1v1edits', 'f1driver']",9
questionoftheday,['questionoftheday'],1
tvducollabs_comp9,['tvducollabs_comp9'],1
sarahbennett,['sarahbennett'],1
falconry,['falconry'],1
accipiter,['accipiter'],1
specialintrest,['specialintrest'],1
racconcity,"['racconcity', 'raccons']",3
residentale,['residentale'],1
takeaway,"['takeaway', 'chinesetakeawaykid', 'chinesetakeawayuk', 'britishchinesetakeaway']",6
britishchinesefood,"['britishchinesefood', 'americanchinesefood', 'britishchinese', 'britishchinesetakeaway']",8
expatinlondon,['expatinlondon'],1
chinesetakeout,['chinesetakeout'],1
jd1,['jd1'],1
high,"['high', 'highground', 'highfitness', 'highjewelry', 'juniorhigh']",8
jamietartedit,"['jamietartedit', 'jamiecampbellboweredit']",3
sui,"['sui', 'suivez']",3
vice,['vice'],2
lovercardigan,['lovercardigan'],1
swiftiecore,"['swiftiecore', 'swiftiefact', 'everyswiftieforherself', 'swiftiesecrets', 'f1swiftie', 'swiftieart', 'dogswiftie', 'cutestswiftie', 'elderswiftie', 'millenialswiftie', 'egyptianswiftie', 'pregnantswiftie', 'swiftieartist', 'swiftiebook', 'blackswiftie']",25
baldeagle,['baldeagle'],1
ornithology,['ornithology'],1
annoyingsiblings,"['annoyingsiblings', 'annoying']",3
fasion,"['fasion', 'fasionweek']",3
rt,['rt'],1
jamesdashner,['jamesdashner'],1
newtmas,['newtmas'],1
bookhauls,['bookhauls'],1
videojournal,['videojournal'],1
digitaljournal,['digitaljournal'],1
dumpsterfire,['dumpsterfire'],1
littlegoldenbooks,['littlegoldenbooks'],1
cryingatmovies,['cryingatmovies'],1
courtship,['courtship'],1
amazonleggingsreview,"['amazonleggingsreview', 'amazonleggings']",2
amazonleggings,"['amazonleggings', 'leggings']",3
ukmemestv,['ukmemestv'],1
britishhumourofficial,['britishhumourofficial'],1
memegod,['memegod'],1
memehub13,"['memehub13', 'memehubtv']",3
britishcomedy123,"['britishcomedy123', 'britishcomedyuk']",3
cartoontheory,['cartoontheory'],1
babygoats,"['babygoats', 'babybabybaby']",3
seriess_editxz,"['seriess_editxz', 'ronin_editz', 'sabereditx', 'raissaeditx']",5
honesty,['honesty'],1
weather,"['weather', 'weatherreport']",4
blizzard,['blizzard'],1
cantinaband,['cantinaband'],1
catscience,['catscience'],1
igaveup,['igaveup'],1
whydoibother,['whydoibother'],1
arqueiro,['arqueiro'],1
arrowversefanfic,['arrowversefanfic'],1
nysaaalghul,"['nysaaalghul', 'nyssaalghul', 'nyssaalghuledit']",5
laurellanceedit,"['laurellanceedit', 'quentinlanceedit']",3
blacksiren,"['blacksiren', 'blacksirenedit']",2
blacksirenedit,"['blacksirenedit', 'jackblackedit', 'blackfireedit']",3
johndiggleedit,"['johndiggleedit', 'diggle', 'eltonjohnedit']",4
malcolmmerlynedit,['malcolmmerlynedit'],1
arrow_mydrug__,['arrow_mydrug__'],1
merlancestan,['merlancestan'],1
theministryofungentlemanlywarfare,['theministryofungentlemanlywarfare'],1
milanote,['milanote'],2
dabble,['dabble'],1
writingplatforms,['writingplatforms'],1
farm,"['farm', 'farmcat']",4
farmersof,['farmersof'],1
showgoats,['showgoats'],2
offtherailspygmies,['offtherailspygmies'],1
elephantnaturepark,['elephantnaturepark'],1
savetheelephants,['savetheelephants'],1
chiangmaielephantsanctuary,"['chiangmaielephantsanctuary', 'elephantsanctuary']",3
ethicalanimaltourism,['ethicalanimaltourism'],1
encantodisney,['encantodisney'],1
encantomovie,['encantomovie'],1
felix,['felix'],1
madrigal,"['madrigal', 'madrigalfamily', 'asantemadrigal']",5
peppamadrigal,['peppamadrigal'],1
leohaus,['leohaus'],1
witchyhumor,['witchyhumor'],1
feministcomedy,['feministcomedy'],1
girlswillbegirls,"['girlswillbegirls', 'thingirls', 'girlsacc', 'girlscrew', 'nintendogirls', 'fangirls', 'babygirls', 'modelsgirls', 'exoticgirls', 'fitgirls', 'gymgirls', 'sciencegirls', 'thegirlsthatgetitgetit', 'chinesegirls', 'girlsgaming']",29
legocollector,['legocollector'],1
legolover,['legolover'],1
legocontentcreator,"['legocontentcreator', 'disneylandcontentcreator']",3
impress,['impress'],1
bracesproblems,['bracesproblems'],2
kissingwithbraces,['kissingwithbraces'],2
krysmay,['krysmay'],1
athletesof,['athletesof'],1
firstkissstory,['firstkissstory'],1
girltalk,['girltalk'],1
society97,['society97'],1
cashapp13plus,['cashapp13plus'],1
badkisser,['badkisser'],1
ieinbesties,['ieinbesties'],1
painfulbraces,['painfulbraces'],1
archiewindsor,"['archiewindsor', 'archieharrisonmountbattenwindsor']",3
haberslove,['haberslove'],1
zachandmaggie,['zachandmaggie'],1
zaggie,['zaggie'],1
simping4anjasedits,['simping4anjasedits'],1
richardandthegeodreieck,['richardandthegeodreieck'],1
dukeofsussexs,['dukeofsussexs'],1
goinghome,['goinghome'],1
flashyynaya,['flashyynaya'],1
endingexplained,['endingexplained'],1
princesslilibet,"['princesslilibet', 'princesslilibetdiana', 'lilibet']",3
noreallyimjoking,['noreallyimjoking'],1
thesuicesquad,['thesuicesquad'],1
lethimcook,['lethimcook'],1
usavengers,['usavengers'],1
mightyavengers,['mightyavengers'],1
secretavengers,['secretavengers'],1
greatlakeavengers,['greatlakeavengers'],1
darkavengers,['darkavengers'],1
princearchieedit,['princearchieedit'],1
princesslilibetdiana,"['princesslilibetdiana', 'lilibet', 'dianaprincessofwales']",5
pinkbraces,['pinkbraces'],1
yonduudonta,['yonduudonta'],1
overbiteteeth,['overbiteteeth'],1
doctorgigi,"['doctorgigi', 'gigigigi']",2
rubberband,['rubberband'],1
resturantlife,['resturantlife'],1
nopainnogain,['nopainnogain'],1
montecitocalifornia,['montecitocalifornia'],1
babyoda,"['babyoda', 'babybabybaby']",2
hearingimpaired,['hearingimpaired'],1
gamoraandnebula,['gamoraandnebula'],1
dontcrydontcrydontcry,['dontcrydontcrydontcry'],1
rituxha,['rituxha'],1
peterquillandgamora,"['peterquillandgamora', 'imapeterquillkin', 'peterquillpov']",5
annibelova,['annibelova'],2
gamoraandpeteredit,['gamoraandpeteredit'],1
neytiriedit,['neytiriedit'],1
zoesalanda,['zoesalanda'],1
srxam,['srxam'],1
ramonaflowers,['ramonaflowers'],1
rocketandgrootedit,"['rocketandgrootedit', 'babygrootedit', 'rocketmanedit']",4
guardiansofthegalaxy3edit,"['guardiansofthegalaxy3edit', 'galaxyguardians3', 'guardiansofthegalgalaxy', 'gamoraguardiansofthegalaxyedit', 'gamoraguardiansofthegalaxy', 're3edit', 'guardiansofthegalaxyride']",12
vol2,"['vol2', 'nbastreetvol2']",3
vsloak,['vsloak'],1
saskia,['saskia'],1
saskiademerindol,['saskiademerindol'],1
secretbusiness,['secretbusiness'],1
karadevens,['karadevens'],1
mustsharenews,['mustsharenews'],1
newstodayinuk,['newstodayinuk'],1
thatonestrugglingcommentary,"['thatonestrugglingcommentary', 'thatonestrugglingadultsimps', 'thatonestrugglingadult']",5
lancelparis,"['lancelparis', 'liliforlancel', 'lanceltwist', 'lancelpartner']",7
armanibeauty,['armanibeauty'],1
luminoussilk,['luminoussilk'],1
coachny,['coachny'],1
coachpartner,['coachpartner'],1
fbomb,['fbomb'],1
rainnwilson,['rainnwilson'],1
donotskipthissound,['donotskipthissound'],1
songsedits,['songsedits'],1
dreamgroup,['dreamgroup'],1
girlslovetravel,['girlslovetravel'],1
withgreatpowercomesgreatresponsibilty,['withgreatpowercomesgreatresponsibilty'],1
drconnors,"['drconnors', 'drcurtisconnors']",3
oscorp,['oscorp'],1
coronationfacts,['coronationfacts'],1
pennymordaunt,['pennymordaunt'],1
compilation,['compilation'],1
musicmakesadifference,['musicmakesadifference'],2
grhamnortonshow,['grhamnortonshow'],1
the1975mattyhealy,"['the1975mattyhealy', 'mattyhealyedits', 'mattyhealyismydad']",5
horrorromance,['horrorromance'],1
aftercreditscene,['aftercreditscene'],1
grownish,['grownish'],1
diggysimmons,['diggysimmons'],1
trevorjackson,['trevorjackson'],1
popculturetea,"['popculturetea', 'f1popculture', 'popculturefacts', 'popculturescientist']",4
jayleno,['jayleno'],1
happystarwarsday,"['happystarwarsday', 'starwarsbaby', 'starwarsaesthetic', 'starwarsjedi', 'starwarstoys', 'starwarstros', 'starwarsreview', 'starwarsvideos', 'starwarsbrasso', 'starwarsfamily', 'happydeathday', 'starwarsfunny', 'starwarsdr', 'starwars2022', 'starwarssaga', 'starwarscw', 'starwarsgirls', 'anakinstarwars', 'starwarskenobi', 'starwarsseries', 'starwarsnotlame', 'starwars769', 'starwarsromance', 'starwarsandchill']",28
princeandrew,['princeandrew'],1
8ball,"['8ball', 'ballora']",3
theriseofskywaker,['theriseofskywaker'],1
givesyouwiiings,['givesyouwiiings'],1
moviesclips,['moviesclips'],1
oceaneight,['oceaneight'],1
oceanseight,['oceanseight'],2
nineball,"['nineball', 'ballora']",3
bootsaremadeforwalking,['bootsaremadeforwalking'],1
oceans8movie,"['oceans8movie', 'ocean8movie']",3
cateblanchetttedit,['cateblanchetttedit'],1
autograph,['autograph'],1
brzrkr,"['brzrkr', 'brz']",3
jonasbrothersfamilyroast,"['jonasbrothersfamilyroast', 'jonasbrothersfan']",3
naisrealities,['naisrealities'],1
postcredits,['postcredits'],1
legendarystarlord,"['legendarystarlord', 'starlordgamora']",3
jbuckstudios,"['jbuckstudios', 'jbuck']",3
kryptonians,['kryptonians'],2
bradlycooper,['bradlycooper'],1
davebutista,['davebutista'],1
chukwudiiwuji,['chukwudiiwuji'],2
april30th,['april30th'],1
atlantanight3,"['atlantanight3', 'erasnashvillenight3', 'atlantanight2', 'erasmetlifenight3', 'tampanight3']",5
mercedezbenzstadium,['mercedezbenzstadium'],1
guardianesdelagalaxiavol3,['guardianesdelagalaxiavol3'],1
prgirl,['prgirl'],1
starkdvt,['starkdvt'],1
sunsilkcreatoracademy,['sunsilkcreatoracademy'],1
heartlessedit,['heartlessedit'],1
sofiavergaraex,['sofiavergaraex'],1
protecting,['protecting'],1
digsyfoss,['digsyfoss'],1
hamishbowles,['hamishbowles'],1
atonement,"['atonement', 'atonementmovie', 'atonement2007']",5
coffeetalkswithrenee,['coffeetalkswithrenee'],1
swittle,['swittle'],1
entertainmentindustry,['entertainmentindustry'],1
filmschool,['filmschool'],1
channel5,['channel5'],1
zacposen,['zacposen'],1
gogglebox,['gogglebox'],1
worldcup2022,['worldcup2022'],1
qatar2022,['qatar2022'],1
untouchable,['untouchable'],1
criticism,['criticism'],1
ukpolitics,['ukpolitics'],1
emmathompson,['emmathompson'],2
jillbiden,['jillbiden'],1
judidench,['judidench'],1
maggiesmith,['maggiesmith'],1
dogandduck,['dogandduck'],1
kingcharlesiiicoronation,['kingcharlesiiicoronation'],1
westminsterabbey,['westminsterabbey'],1
steakhouse,['steakhouse'],1
tommyhilfiger,['tommyhilfiger'],1
mildredratchedapologist,['mildredratchedapologist'],1
bcfilm,['bcfilm'],1
geniuses,['geniuses'],1
filmscene,['filmscene'],1
debbieoceanedit,['debbieoceanedit'],1
loubbie,['loubbie'],1
middleagedwomen,['middleagedwomen'],1
grwmtoshop,['grwmtoshop'],1
thriftedfashion,"['thriftedfashion', 'thriftedbabyclothes']",3
oldestsister,['oldestsister'],1
middlechild,['middlechild'],1
followforfollowback,"['followforfollowback', 'followback']",3
shawnmendesedit,"['shawnmendesedit', 'shawnmendesthetour', 'shawnmendeserastour']",4
camilaandshawn,"['camilaandshawn', 'shawnandcamila']",3
lesmiserables,['lesmiserables'],2
lesmis,"['lesmis', 'lesmiswestend']",3
fearful,['fearful'],1
goodboyaudios,['goodboyaudios'],1
policedrama,['policedrama'],1
toxicfriend,['toxicfriend'],1
validation,['validation'],1
secretworld,['secretworld'],2
kaprisimsie,['kaprisimsie'],1
tic,['tic'],2
simscontent,['simscontent'],1
helpfulinformation,['helpfulinformation'],1
followformoreepiccontent,['followformoreepiccontent'],1
thescientist,['thescientist'],2
podcasts,['podcasts'],2
editingvideo,['editingvideo'],1
nreaxov,['nreaxov'],1
goodomensparody,['goodomensparody'],1
hillywood,['hillywood'],1
pizspider,['pizspider'],1
omb,['omb'],1
oliviameredithandbenji,['oliviameredithandbenji'],1
cycloneblackadam,['cycloneblackadam'],1
societyofjustice,['societyofjustice'],2
podcasting,['podcasting'],1
poscastclips,['poscastclips'],1
disturbingvideo,['disturbingvideo'],1
whatslovegottodowithit,['whatslovegottodowithit'],1
cloverfield,['cloverfield'],1
foundfootage,['foundfootage'],1
taylorswiftfact,"['taylorswiftfact', 'swiftiefact', 'taylorswifttoes', 'taylorswiftsecretsessions', 'taylorswiftiecc', 'mattyandtaylorswift', 'taylorswiftmastermind', 'taylorswiftclips', 'taylorswiftstore', 'taylorswiftmakeupinspired', 'taylorswiftkarmatheory', 'taylorswiftboyfriends', 'taylorswiftfernandoalonso', 'kingofmyhearttaylorswift', 'the1taylorswift', 'oktaylorswift', 'taylorswiftgillette', 'taylorswiftthemangillette', 'taylorswifttheman', 'hauntedtaylorswift', 'beginagaintaylorswift', 'taylorswiftandconnerkennedy', 'taylorswiftex', 'taylorswiftswiftcity', 'taylorswiftcansing', 'ihearttaylorswift', 'taylorswiftmommy', 'taylorswiftisthebest', 'taylorswiftexile', 'taylorswifthits', 'bestoftaylorswift', 'taylorswiftweddingsongs', 'taylorswiftweddingtheme', '13taylorswift', 'howyougetthegirltaylorswift', 'taylorswiftkanyewest', 'taylorswiftandharrystyles', 'taylorswiftdancer', 'taylorswiftsnl', 'taylorswifttour2022', 'iwillmeettaylorswift', 'allofthegirlstaylorswift', 'taylorswifttweets', 'grammystaylorswift', 'taylorswiftdecor', 'tayloralisonswiftedit', 'viptaylorswifttickets', 'tohxtaylorswift', 'taylorswifttattooidea', 'taylorswifttampashow', 'taylorswiftgirl', 'taylorswiftbooks', 'taylorswifturuguay']",54
quebula,['quebula'],1
rachelhaircut,['rachelhaircut'],1
thrillerdance,['thrillerdance'],1
starspangledmanwithaplan,['starspangledmanwithaplan'],1
indianmatchmaking,['indianmatchmaking'],2
totkcountdown,['totkcountdown'],1
alwaysopenpodcast,"['alwaysopenpodcast', 'alwaysopen']",3
mustbuy,['mustbuy'],1
insidious,['insidious'],1
finaldestination,"['finaldestination', 'destination']",4
talorswift,['talorswift'],1
jisbon,['jisbon'],1
widowxcc,['widowxcc'],1
balckcanary,"['balckcanary', 'balckcat']",3
catportrait,['catportrait'],1
vecnaplis,['vecnaplis'],1
xmen2,"['xmen2', 'xmen3', 'nightcrawlerxmen', 'xmen1992', 'xmendarkphonex', '2x13', 'xmenwomen', 'xmenshadowcat', 'xmenexcalibur', 'xmenkrakoa']",18
beyonder,['beyonder'],1
thanosreguladorastral,['thanosreguladorastral'],1
fenixbrancadacoroa,['fenixbrancadacoroa'],1
cenasdeserie,['cenasdeserie'],1
fenixnegraedt,['fenixnegraedt'],1
axejudgementday,['axejudgementday'],1
telepathy,['telepathy'],1
christinaaguilera,['christinaaguilera'],1
mael14,['mael14'],1
wanessawolf,['wanessawolf'],1
spiderplis,['spiderplis'],1
renaissancepainting,['renaissancepainting'],1
steveplis,['steveplis'],1
marvelmemesbr,['marvelmemesbr'],1
jonasplis,['jonasplis'],1
nanoplis,['nanoplis'],1
jameslogan,['jameslogan'],1
scojean,['scojean'],1
nãoflopa,['nãoflopa'],1
kakavege,"['kakavege', 'obikaka💖']",2
caos_kaah,['caos_kaah'],1
darkpheonixedit,['darkpheonixedit'],1
garotamarvel,['garotamarvel'],1
xmen3,"['xmen3', 'nightcrawlerxmen', 'xmen1992', 'xmendarkphonex', '3x09', 'xmenwomen', 'xmenshadowcat', 'xmenexcalibur', 'xmenkrakoa']",10
stamoraedit,['stamoraedit'],1
christprattedit,['christprattedit'],1
statetesting,['statetesting'],1
algebra,['algebra'],1
lowerbowl,['lowerbowl'],1
logangarfild,['logangarfild'],1
therivercollection,['therivercollection'],1
hoodirony,['hoodirony'],1
dnc,['dnc'],1
thedemocrats,['thedemocrats'],2
starwarsbaby,"['starwarsbaby', 'starwarsaesthetic', 'starwarsjedifallen', 'starwarsjedi', 'vanityfairstarwars', 'starwarstoys', 'starwarstros', 'starwarsreview', 'starwarsrevengeofthesith', 'starwarsreturnofthejedi', 'starwarsvideos', 'starwarsbrasso', 'stilllovestarwars', 'lonewolfstarwars', 'starwarsrogueone', 'starwarsfamily', 'starwarsfunny', 'starwarsdr', 'starwars2022', 'starwarssaga', 'starwarscw', 'starwarsgirls', 'anakinstarwars', 'starwarskenobi', 'starwarsseries', 'starwarsnotlame', 'starwars769', 'starwarsromance', 'starwarsfa_66', 'starwarsandchill', 'starwarsgrogu']",62
haileybieberstyle,"['haileybieberstyle', 'haileybieberstreetstyle']",3
youreinsecure,"['youreinsecure', 'insecureties']",3
bumperstickers,['bumperstickers'],2
wisconsin,['wisconsin'],1
helikesgreenbabiesandhecannotlie,['helikesgreenbabiesandhecannotlie'],1
indicaçãodefilme,['indicaçãodefilme'],1
truecrimefacts,['truecrimefacts'],1
emmalaird,['emmalaird'],2
travellifestyle,['travellifestyle'],1
cai,['cai'],2
pheobedynevor,['pheobedynevor'],1
houstontx,['houstontx'],2
amend,['amend'],1
oportopirtugal,['oportopirtugal'],1
clerigostower,['clerigostower'],1
landscape,['landscape'],1
zyvbca,['zyvbca'],1
ruthschmidt,"['ruthschmidt', 'schmidtandruth']",3
ruthnewgirl,"['ruthnewgirl', 'newgirlgroup']",3
joelmillee,['joelmillee'],1
juanes,['juanes'],1
tengolacamisanegra,['tengolacamisanegra'],1
misterworldwide,['misterworldwide'],1
fuckticketmaster,['fuckticketmaster'],1
nancydrew,['nancydrew'],1
bridgetonnetflix,['bridgetonnetflix'],1
renejean,['renejean'],1
phoebedyenvor,['phoebedyenvor'],1
fairplay,"['fairplay', 'fairplaydancecamp']",3
sundancefilmfestival,"['sundancefilmfestival', 'cannesfilmfestival2023']",2
sundance2023,['sundance2023'],1
whiteswan,"['whiteswan', 'swan']",3
mrronniesedits,['mrronniesedits'],1
seasonsdiamond,['seasonsdiamond'],1
perioddramaedits,['perioddramaedits'],1
ultralight,['ultralight'],1
bridgertoncouple,"['bridgertoncouple', 'bookbridgerton', 'livrobridgerton', 'bridgertonseason', 'bridgertoncostume', 'bridgertonblue', 'bridgertonactress', 'viscountessbridgerton', 'bridgertonbrainrot', 'bridgertonbts', 'gregoryandlucybridgerton', 'fancastbridgerton', 'lucybridgerton', 'sophiebridgerton', 'bendictbridgerton', 'bridgerton2edit', 'bridgertonbesties']",33
capoli,['capoli'],1
ma1ngrande,"['ma1ngrande', 'erasnashvillen1', 'phillyn1eras', 'phillyn1']",4
funnydogvideos,"['funnydogvideos', 'memesfunnyvideos', 'randomfunnyvideos', 'catfunnyvideos']",7
fatcatsof,"['fatcatsof', 'fat']",2
barbarian,['barbarian'],1
antiwoke,['antiwoke'],1
2slgbtqia,['2slgbtqia'],1
queercommunity,['queercommunity'],1
lgbtqplus,['lgbtqplus'],1
rondesantis,['rondesantis'],1
dontsaygay,"['dontsaygay', 'dontsayperiod']",3
flpoli,['flpoli'],1
bruwmedits,"['bruwmedits', 'bruwm']",3
dungeonsampdragons,"['dungeonsampdragons', 'dungeonsanddragons5e', 'dungeonsanddragons2023', 'dungeonsanddragonslapelícula']",7
unsleepingcity,['unsleepingcity'],2
sophiabicicleta,['sophiabicicleta'],1
sophialee,['sophialee'],1
emilyaxford,['emilyaxford'],1
convergence,['convergence'],1
evermorepark,['evermorepark'],1
shakemyhandincharacter,['shakemyhandincharacter'],1
quincystavern,['quincystavern'],1
sohpialillis,['sohpialillis'],1
lad,"['lad', 'gaylad']",3
thrifttryon,['thrifttryon'],1
adveturesofsupermanjonkent,"['adveturesofsupermanjonkent', 'supermanjonkent']",3
characteraibot,"['characteraibot', 'aibot']",3
johnwickedit,['johnwickedit'],1
alwaysbemymaybe,['alwaysbemymaybe'],1
flashk3nt,['flashk3nt'],1
truestories,['truestories'],1
justicesmithedit,['justicesmithedit'],1
michellerodriguezedit,['michellerodriguezedit'],1
ursuperher0,['ursuperher0'],1
gregoryhouse,"['gregoryhouse', 'gregory']",3
1800blockhisnumber,['1800blockhisnumber'],1
andreasachs,['andreasachs'],1
petermora,['petermora'],1
mjpeterparker,"['mjpeterparker', 'peterparkervlogs', 'peterparkerbaby', 'peterparkerchild', 'peterhoodparker', 'sentinelpeterbparker', 'iampeterparker', 'spidermanpeterparker', 'peterparkerfanfic']",16
starmorashipper,['starmorashipper'],1
quillmora,['quillmora'],1
ayssietest,['ayssietest'],1
rocketmarvel,['rocketmarvel'],1
daisyheadedit,['daisyheadedit'],1
dndanimation,['dndanimation'],1
matildamovie,['matildamovie'],1
obikaka💖,"['obikaka💖', 'kobik']",3
drankey,['drankey'],1
osakacomiccon2023,"['osakacomiccon2023', 'osakacomiccon', 'comicconrevolution', 'comiconrevolution2023', 'momocon2023', 'wondercon2023', 'birminghamcomiccon', 'comicconprague2023']",14
buckysarm,['buckysarm'],1
quickmakeup,['quickmakeup'],1
worththehype,"['worththehype', 'makeupworththehype']",3
worththemoney,['worththemoney'],1
honestreview,['honestreview'],1
honestopinion,['honestopinion'],1
shivsuccessionhbo,['shivsuccessionhbo'],1
jimmynovakedit,['jimmynovakedit'],1
racoon,"['racoon', 'babyracoon', 'rocketracoon🦝', 'racooncity']",6
princesaleia,['princesaleia'],1
favoritethings,['favoritethings'],1
glasscliff,['glasscliff'],1
womeninleadership,['womeninleadership'],1
classes,['classes'],1
fairycoreaesthetic,"['fairycoreaesthetic', 'fairycottageaesthetic', 'dreamcoreaesthetic']",5
teaparty,"['teaparty', 'waitwhatyournotcomingtomyteaparty']",3
screamingcryingthrowingup,"['screamingcryingthrowingup', 'cryingsobbingthrowingup', 'cryingthrowingup']",5
erasnashvillenight1,"['erasnashvillenight1', 'nashvillenight1erastour', 'erasnashvillen1', 'erasnashvillenight2', 'erasnashvillenight3', 'erastourpanight1', 'nashvilleerastourn1', 'phillynight1']",9
beautyfavorites,['beautyfavorites'],1
perfect10,"['perfect10', '10outof10']",2
harryhookedit,['harryhookedit'],1
dctitan,['dctitan'],1
millsmilfs1kcomp,['millsmilfs1kcomp'],1
zelenamills,['zelenamills'],1
davidandalexis,['davidandalexis'],1
14thdoctor,"['14thdoctor', 'doctorwho60thanniversary']",3
ncutigatwadoctorwho,['ncutigatwadoctorwho'],1
poptart,['poptart'],1
kidult,['kidult'],1
comprasinnecesarias,['comprasinnecesarias'],1
adultoindependiente,"['adultoindependiente', 'independiente']",3
amosheller,['amosheller'],1
65movie,['65movie'],1
10outof10,"['10outof10', 'remix10']",3
upbeat,['upbeat'],1
wordsofwisdom,"['wordsofwisdom', 'morethanwords']",3
jensenacklese,"['jensenacklese', 'eles']",3
